Inserted List,ORF Name,Gene Name,UniProt_Acc,Description
YLL067C,YLL067C,YLL067C,Q07888,Putative protein of unknown function with similarity to helicases
YLR001C,YLR001C,YLR001C,Q07895,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; predicted to be palmitoylated"
YLR012C,YLR012C,YLR012C,Q07927,Putative protein of unknown function; YLR012C is not an essential gene
YLR030W,YLR030W,YLR030W,Q07967,Putative protein of unknown function
YLR031W,YLR031W,YLR031W,Q07978,Putative protein of unknown function
YLR036C,YLR036C,YLR036C,Q07986,Putative protein of unknown function predicted to have transmembrane domains; interacts with HSP90 by yeast two-hybrid analysis; YLR036C is not an essential protein
YLR040C,YLR040C,AFB1,Q07988,Putative protein of unknown function; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W; YLR040C is not essential
YLR041W,YLR041W,YLR041W,Q07989,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YLR040C"
YLR042C,YLR042C,YLR042C,Q07990,Protein of unknown function; localizes to the cytoplasm; YLL042C is not an essential gene
YLR046C,YLR046C,YLR046C,Q12253,Putative membrane protein; member of the fungal lipid-translocating exporter (LTE) family of proteins; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance
YLR049C,YLR049C,MLO50,Q12110,Putative protein of unknown function
YLR050C,YLR050C,EMA19,Q12155,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YLR050C is not an essential gene
YLR053C,YLR053C,YLR053C,Q12026,Putative protein of unknown function
YLR072W,YLR072W,LAM6,Q08001,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; YLR072W is not an esssential gene
YLR076C,YLR076C,YLR076C,Q08018,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the essential gene RPL10 which encodes the ribosomal protein L10"
YLR099W-A,YLR099W-A,MIM2,Q3E798,Putative protein of unknown function
YLR101C,YLR101C,YLR101C,Q08027,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified, essential ORF ERG27/YLR100W"
YLR108C,YLR108C,YLR108C,Q12259,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YLR108C is not an esssential gene
YLR111W,YLR111W,YLR111W,Q12528,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR112W,YLR112W,YLR112W,Q12130,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR118C,YLR118C,TML25,Q12354,Acyl-protein thioesterase responsible for depalmitoylation of Gpa1p; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus and is induced in response to the DNA-damaging agent MMS
YLR122C,YLR122C,YLR122C,Q12312,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR123C"
YLR123C,YLR123C,YLR123C,Q12174,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR122C; contains characteristic aminoacyl-tRNA motif"
YLR124W,YLR124W,YLR124W,Q12327,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR125W,YLR125W,YLR125W,Q12138,Putative protein of unknown function; mutant has decreased Ty3 transposition; YLR125W is not an essential gene
YLR126C,YLR126C,YLR126C,Q12288,Putative protein of unknown function with similarity to glutamine amidotransferase proteins; has Aft1p-binding motif in the promoter; may be involved in copper and iron homeostasis; YLR126C is not an essential protein
YLR140W,YLR140W,YLR140W,Q12077,Dubious open reading frame unlikely to encode a functional protein; overlaps essential RRN5 gene which encodes a member of the UAF transcription factor involved in transcription of rDNA by RNA polymerase I
YLR146W-A,YLR146W-A,YLR146W-A,Q2V2P1,Putative protein of unknown function
YLR149C,YLR149C,YLR149C,Q99296,Putative protein of unknown function; overexpression causes a cell cycle delay or arrest; null mutation results in a decrease in plasma membrane electron transport; YLR149C is not an essential gene
YLR149C-A,YLR149C-A,YLR149C-A,P0C5P8,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR152C,YLR152C,YLR152C,P54072,Putative protein of unknown function; YLR152C is not an essential gene
YLR154C-G,YLR154C-G,YLR154C-G,Q3E813,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF is contained within RDN25-2 and RDN37-2
YLR154C-H,YLR154C-H,YLR154C-H,P0CY02,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-2
YLR154W-B,YLR154W-B,YLR154W-B,P0C5P9,Dubious open reading frame unlikely to encode a protein; encoded within the the 25S rRNA gene on the opposite strand
YLR154W-F,YLR154W-F,YLR154W-F,P0C5Q0,Dubious open reading frame unlikely to encode a protein; encoded within the the 35S rRNA gene on the opposite strand
YLR156C-A,YLR156C-A,YLR156C-A,P0CY03,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-3
YLR156W,YLR156W,YLR156W,P0CE96,Putative protein of unknown function; exhibits a two-hybrid interaction with Jsn1p in a large-scale analysis
YLR157C-C,YLR157C-C,YLR157C-C,P0CY04,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-4
YLR157W-D,YLR157W-D,YLR157W-D,P0CE99,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
YLR157W-E,YLR157W-E,YLR157W-E,P0CF00,"Putative protein of unknown function identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; partially overlaps a Ty1 element"
YLR159C-A,YLR159C-A,YLR159C-A,P0CY05,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-5
YLR159W,YLR159W,YLR159W,P0CE97,"Putative protein of unknown function; YLR156W, YLR159W, and YLR161W are three identical open reading frames encoded near the ribosomal DNA region of chromosome 12"
YLR161W,YLR161W,YLR161W,P0CE98,"Putative protein of unknown function; YLR156W, YLR159W, and YLR161W are three identical open reading frames encoded near the ribosomal DNA region of chromosome 12"
YLR162W,YLR162W,YLR162W,Q06235,"Putative protein of unknown function; overexpression confers resistance to the antimicrobial peptide MiAMP1 and causes growth arrest, apoptosis, and increased sensitivity to cobalt chloride"
YLR169W,YLR169W,YLR169W,O13561,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR171W,YLR171W,YLR171W,O13562,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR173W,YLR173W,YLR173W,Q06247,Putative protein of unknown function
YLR177W,YLR177W,YLR177W,Q06251,Putative protein of unknown function; phosphorylated by Dbf2p-Mob1p in vitro; some strains contain microsatellite polymophisms at this locus; YLR177W is not an essential gene
YLR179C,YLR179C,YLR179C,Q06252,Protein of unknown function with similarity to Tfs1p; transcription is activated by paralogous proteins Yrm1p and Yrr1p along with proteins involved in multidrug resistance; GFP-tagged protein localizes to the cytoplasm and nucleus
YLR184W,YLR184W,YLR184W,Q06267,"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR194C,YLR194C,NCW2,Q05777,Structural constituent of the cell wall attached to the plasma membrane by a GPI-anchor; expression is upregulated in response to cell wall stress
YLR198C,YLR198C,YLR198C,O13530,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene SIK1/YLR197W"
YLR202C,YLR202C,YLR202C,O13531,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YLR201C; ORF contains a putative intron"
YLR217W,YLR217W,YLR217W,O13532,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CPR6"
YLR224W,YLR224W,UCC1,Q05947,F-box protein and component of SCF ubiquitin ligase complexes involved in ubiquitin-dependent protein catabolism; readily monoubiquitinated in vitro by SCF-Ubc4 complexes; YLR224W is not an essential gene
YLR225C,YLR225C,YLR225C,Q05948,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR225C is not an essential gene
YLR230W,YLR230W,YLR230W,A0A023PX,Dubious open reading frame unlikely to encode a functional protein; overlaps 5' end of essential CDC42 gene which encodes a small Rho-like GTPase essential for establishment and maintenance of cell polarity
YLR232W,YLR232W,YLR232W,O13546,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene BNA5"
YLR235C,YLR235C,YLR235C,A0A023PX,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TOP3"
YLR236C,YLR236C,YLR236C,A0A023PZ,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR252W,YLR252W,YLR252W,O13573,"Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data; partially overlaps the verified gene SYM1, a mitochondrial protein involved in ethanol metabolism"
YLR255C,YLR255C,YLR255C,O13574,"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR257W,YLR257W,YLR257W,Q06146,Putative protein of unknown function
YLR264C-A,YLR264C-A,YLR264C-A,Q3E732,Putative protein of unknown function
YLR269C,YLR269C,YLR269C,O13550,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR271W,YLR271W,CMG1,Q06152,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS
YLR278C,YLR278C,YLR278C,Q05854,Zinc-cluster protein; GFP-fusion protein localizes to the nucleus; mutant shows moderate growth defect on caffeine; has a prion-domain like fragment that increases frequency of [URE3]; YLR278C is not an essential gene
YLR279W,YLR279W,YLR279W,O13540,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR280C,YLR280C,YLR280C,O13541,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR281C,YLR281C,RSO55,Q05863,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene
YLR282C,YLR282C,YLR282C,O13542,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition"
YLR283W,YLR283W,YLR283W,Q05867,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR283W is not an essential gene
YLR285C-A,YLR285C-A,YLR285C-A,Q3E771,Putative protein of unknown function; identified by fungal homology and RT-PCR
YLR287C,YLR287C,YLR287C,Q05881,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR287C is not an essential gene
YLR290C,YLR290C,COQ11,Q05892,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR290C is not an essential gene"
YLR294C,YLR294C,YLR294C,O13543,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene ATP14"
YLR296W,YLR296W,YLR296W,Q05898,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR297W,YLR297W,YLR297W,Q05899,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YLR297W is not an essential gene; induced by treatment with 8-methoxypsoralen and UVA irradiation
YLR302C,YLR302C,YLR302C,O13544,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR307C-A,YLR307C-A,DPA10,Q3E825,Putative protein of unknown function
YLR311C,YLR311C,YLR311C,Q06158,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR312C,YLR312C,ATG39,Q06159,Putative protein of unknown function
YLR317W,YLR317W,YLR317W,O13553,Dubious open reading frame; may be part of a bicistronic transcript with NKP2/YLR315W; overlaps the verified ORF TAD3/YLR316C
YLR326W,YLR326W,YLR326W,Q06170,"Putative protein of unknown function, predicted to be palmitoylated"
YLR334C,YLR334C,YLR334C,Q06127,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps a stand-alone long terminal repeat sequence whose presence indicates a retrotransposition event occurred here"
YLR339C,YLR339C,YLR339C,O94085,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the essential gene RPP0"
YLR342W-A,YLR342W-A,YLR342W-A,Q3E810,Putative protein of unknown function
YLR345W,YLR345W,YLR345W,Q06137,"Similar to 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase enzymes responsible for the metabolism of fructoso-2,6-bisphosphate; mRNA expression is repressed by the Rfx1p-Tup1p-Ssn6p repressor complex; YLR345W is not an essential gene"
YLR346C,YLR346C,CIS1,Q06139,"Putative protein of unknown function found in mitochondria; expression is regulated by transcription factors involved in pleiotropic drug resistance, Pdr1p and Yrr1p; YLR346C is not an essential gene"
YLR349W,YLR349W,YLR349W,O94086,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified ORF DIC1/YLR348C"
YLR352W,YLR352W,LUG1,Q06479,Putative protein of unknown function with similarity to F-box proteins; interacts with Skp1p and Cdc53p; YLR352W is not an essential gene
YLR358C,YLR358C,YLR358C,O13565,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF RSC2/YLR357W"
YLR361C-A,YLR361C-A,YLR361C-A,Q3E795,Putative protein of unknown function
YLR363W-A,YLR363W-A,YLR363W-A,Q3E747,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YLR365W,YLR365W,YLR365W,Q7LIF2,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps dubious gene YLR364C-A; YLR365W is not an essential gene"
YLR366W,YLR366W,YLR366W,Q7LIF1,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR364C-A"
YLR374C,YLR374C,YLR374C,O13545,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF STP3/YLR375W"
YLR379W,YLR379W,YLR379W,O13579,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the essential ORF SEC61/YLR378C"
YLR400W,YLR400W,YLR400W,Q06051,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR402W,YLR402W,YLR402W,Q06057,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YLR406C-A,YLR406C-A,YLR406C-A,Q8TGT1,Putative protein of unknown function
YLR407W,YLR407W,YLR407W,Q06070,Putative protein of unknown function; null mutant displays elongated buds and a large fraction of budded cells have only one nucleus
YLR412C-A,YLR412C-A,YLR412C-A,Q3E742,Putative protein of unknown function
YLR413W,YLR413W,INA1,Q06689,Putative protein of unknown function; YLR413W is not an essential gene
YLR415C,YLR415C,YLR415C,O13578,Putative protein of unknown function; YLR415C is not an essential gene
YLR416C,YLR416C,YLR416C,Q06695,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR419W,YLR419W,YLR419W,Q06698,"Putative helicase with limited sequence similarity to human Rb protein; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR419W is not an essential gene"
YLR422W,YLR422W,DCK1,Q06409,"Protein of unknown function with similarity to human DOCK proteins (guanine nucleotide exchange factors); interacts with Ino4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm, YLR422W is not an essential protein"
YLR428C,YLR428C,YLR428C,O13564,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CRN1"
YLR444C,YLR444C,YLR444C,O13560,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YLR446W,YLR446W,YLR446W,Q06204,Putative protein of unknown function with similarity to hexokinases; transcript is upregulated during sporulation and the unfolded protein response; YLR446W is not an essential gene
YLR455W,YLR455W,PDP3,Q06188,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)
YLR456W,YLR456W,YLR456W,Q06199,"Putative protein of unknown function; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2"
YLR458W,YLR458W,YLR458W,A0A023PZ,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps 5' end of essential NBP1 gene required for mitosis"
YLR460C,YLR460C,YLR460C,P54007,"Member of the quinone oxidoreductase family, up-regulated in response to the fungicide mancozeb; possibly up-regulated by iodine"
YLR462W,YLR462W,YLR462W,O13556,Putative protein of unknown function with similarity to helicases; YLR462W is within the telomere on the right arm of chromosome XII
YLR463C,YLR463C,YLR463C,O13557,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the uncharacterized ORFs YLR462W and YLR464W"
YLR464W,YLR464W,YLR464W,P0CX17,Putative protein of unknown function; intron is predicted but not detected experimentally; YLR464W overlaps the verified gene YRF1-4/YLR466W and two dubious ORFs YLR463C and YLR465C
YLR466C-B,YLR466C-B,YLR466C-B,Q8TGJ4,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YML002W,YML002W,YML002W,P0CF17,Putative protein of unknown function; expression induced by heat and by calcium shortage
YML003W,YML003W,YML003W,P0CF16,Putative protein of unknown function
YML007C-A,YML007C-A,MIN4,Q3E7A6,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria
YML009C-A,YML009C-A,YML009C-A,A0A023PY,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YML009W-B,YML009W-B,YML009W-B,Q6B0Y1,"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition"
YML012C-A,YML012C-A,YML012C-A,Q6B0Y8,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene SEL1"
YML018C,YML018C,YML018C,Q03730,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the membrane of the vacuole; physical interaction with Atg27p suggests a possible role in autophagy; YML018C is not an essential gene
YML020W,YML020W,YML020W,Q03722,Putative protein of unknown function
YML034C-A,YML034C-A,YML034C-A,A0A023PX,"Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YML037C,YML037C,YML037C,Q03703,Putative protein of unknown function with some characteristics of a transcriptional activator; may be a target of Dbf2p-Mob1p kinase; GFP-fusion protein co-localizes with clathrin-coated vesicles; YML037C is not an essential gene
YML047W-A,YML047W-A,YML047W-A,A0A023PZ,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YML053C,YML053C,YML053C,Q04978,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; overexpression causes a cell cycle delay or arrest; YML053C is not an essential gene
YML054C-A,YML054C-A,YML054C-A,Q3E809,Putative protein of unknown function
YML057C-A,YML057C-A,YML057C-A,P0C261,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene CMP2/YML057W"
YML079W,YML079W,YML079W,Q03629,"Non-essential protein of unknown function with structural resemblance to plant storage and ligand binding proteins (canavalin, glycinin, auxin binding protein) and to some enzymes (epimerase, germin); localizes to the nucleus and cytoplasm"
YML082W,YML082W,YML082W,Q04533,Putative protein predicted to have carbon-sulfur lyase activity; transcriptionally regulated by Upc2p via an upstream sterol response element; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and the cytoplasm; YML082W is not an essential gene
YML083C,YML083C,YML083C,Q04526,Putative protein of unknown function; transcriptionally regulated by Upc2p via an upstream sterol response element; strong increase in transcript abundance during anaerobic growth compared to aerobic growth; cells deleted for YML083C do not exhibit growth defects in anerobic or anaerobic conditions
YML084W,YML084W,YML084W,Q04521,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YML089C,YML089C,YML089C,Q04502,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data; expression induced by calcium shortage"
YML090W,YML090W,YML090W,Q04501,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YML089C; exhibits growth defect on a non-fermentable (respiratory) carbon source"
YML094C-A,YML094C-A,YML094C-A,Q12744,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene GIM5/YML094W; deletion confers sensitivity to GSAO"
YML096W,YML096W,YML096W,Q04489,Putative protein of unknown function with similarity to asparagine synthetases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YML096W is not an essential gene and partially overlaps the verified gene RAD10
YML099W-A,YML099W-A,YML099W-A,Q6B2I9,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF ARG81/YML099C"
YML100W-A,YML100W-A,YML100W-A,Q8TGT0,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
YML101C-A,YML101C-A,YML101C-A,Q6B0Z2,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YML108W,YML108W,YML108W,Q03759,Putative protein of unknown function whose structure defines a new subfamily of the split beta-alpha-beta sandwiches; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YML108W is not an essential gene
YML116W-A,YML116W-A,YML116W-A,Q6B108,Putative protein of unknown function
YML119W,YML119W,YML119W,Q03208,Putative protein of unknown function; YML119W is not an essential gene; potential Cdc28p substrate
YML122C,YML122C,YML122C,Q03207,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YML131W,YML131W,YML131W,Q03102,"Putative protein of unknown function with similarity to medium chain dehydrogenase/reductases; expression induced by stresses including osmotic shock, DNA damaging agents, and other chemicals; GFP-fusion protein localizes to the cytoplasm"
YML133C,YML133C,YML133C,Q03099,"Putative protein of unknown function with similarity to helicases; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YML133C contains an intron"
YMR001C-A,YMR001C-A,YMR001C-A,Q8TGS9,Putative protein of unknown function
YMR007W,YMR007W,YMR007W,Q03675,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YMR010W,YMR010W,ANY1,Q03687,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR010W is not an essential gene; YMR010W mRNA is transcribed with ADI1
YMR013W-A,YMR013W-A,YMR013W-A,P0C5Q2,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the characterized snoRNA gene snR73"
YMR018W,YMR018W,PEX9,Q04364,Putative protein of unknown function with similarity to human PEX5Rp (peroxin protein 5 related protein); transcription increases during colony development similar to genes involved in peroxisome biogenesis; YMR018W is not an essential gene
YMR027W,YMR027W,YMR027W,Q04371,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR027W is not an essential gene
YMR030W-A,YMR030W-A,YMR030W-A,Q3E760,Putative protein of unknown function
YMR031W-A,YMR031W-A,YMR031W-A,Q6Q572,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; null mutant displays shortened telomeres; partially overlaps the uncharacterized ORF YMR031C"
YMR034C,YMR034C,RCH1,Q05131,"Putative transporter, member of the SLC10 carrier family; identified in a transposon mutagenesis screen as a gene involved in azole resistance; YMR034C is not an essential gene"
YMR046W-A,YMR046W-A,YMR046W-A,Q6B0Y5,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR052C-A,YMR052C-A,YMR052C-A,Q6B0Y6,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR057C,YMR057C,YMR057C,Q04674,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF AAC1"
YMR074C,YMR074C,SDD2,Q04773,"Protein with homology to human PDCD5, which is involved in programmed cell death; N-terminal region forms a conserved triple-helix bundle structure; overexpression promotes H2O2-induced apoptosis; YMR074C is not an essential gene"
YMR075C-A,YMR075C-A,YMR075C-A,Q6B0Y7,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF RCO1/YMR075W"
YMR082C,YMR082C,YMR082C,Q04276,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR084W,YMR084W,YMR084W,A2P2R3,Putative protein of unknown function; YMR084W and adjacent ORF YMR085W are merged in related strains
YMR085W,YMR085W,YMR085W,P0CF18,Putative protein of unknown function; YMR085W and adjacent ORF YMR084W are merged in related strains
YMR086C-A,YMR086C-A,YMR086C-A,Q6Q571,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR087W,YMR087W,PDL32,Q04299,Putative ADP-ribose-1''-monophosphatase that converts ADP-ribose-1''-monophosphate to ADP-ribose; may have a role in tRNA splicing; contains an A1pp domain
YMR090W,YMR090W,YMR090W,Q04304,"Putative protein of unknown function with similarity to DTDP-glucose 4,6-dehydratases; GFP-fusion protein localizes to the cytoplasm; up-regulated in response to the fungicide mancozeb; not essential for viability"
YMR099C,YMR099C,YMR099C,Q03161,"Glucose-6-phosphate 1-epimerase (hexose-6-phosphate mutarotase), likely involved in carbohydrate metabolism; GFP-fusion protein localizes to both the nucleus and cytoplasm and is induced in response to the DNA-damaging agent MMS"
YMR102C,YMR102C,YMR102C,Q03177,Protein of unknown function; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; mutant shows increased resistance to azoles; YMR102C is not an essential gene
YMR103C,YMR103C,YMR103C,Q04436,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"
YMR105W-A,YMR105W-A,YMR105W-A,Q8TGS8,Putative protein of unknown function
YMR111C,YMR111C,YMR111C,Q04461,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YMR111C is not an essential gene
YMR114C,YMR114C,YMR114C,Q04471,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; YMR114C is not an essential gene"
YMR119W-A,YMR119W-A,YMR119W-A,A0A023PZ,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR122C,YMR122C,YMR122C,Q03879,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR122W-A,YMR122W-A,NCW1,Q3E842,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and endoplasmic reticulum
YMR124W,YMR124W,EPO1,P39523,"Protein of unknown function; GFP-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; interacts with Crm1p in two-hybrid assay; YMR124W is not an essential gene; predicted to have a role in organelle organization"
YMR130W,YMR130W,DPI35,Q04223,Putative protein of unknown function; YMR130W is not an essential gene
YMR134W,YMR134W,ERG29,P40207,Protein of unknown function that may be involved in iron metabolism; mutant bm-8 has a growth defect on iron-limited medium that is complemented by overexpression of Yfh1p; shows localization to the ER; highly conserved in ascomycetes
YMR135W-A,YMR135W-A,YMR135W-A,Q6B0X1,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR141C,YMR141C,YMR141C,P40211,"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YMR144W,YMR144W,FDO1,P40214,Putative protein of unknown function; localized to the nucleus; YMR144W is not an essential gene
YMR147W,YMR147W,LDO45,P40218,Putative protein of unknown function
